Dataset,Best Model,Combined Score,AUROC,Specificity,Sensitivity,F1 Score,PR AUC,Best Parameters
1,Random Forest,0.5351190476190477,0.6208791208791209,0.6923076923076923,0.5714285714285714,0.5333333333333333,0.5357142857142858,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
3,Random Forest,0.6149787712287712,0.6483516483516483,0.7692307692307693,0.42857142857142855,0.46153846153846156,0.6661255411255411,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}"
5,Random Forest,0.46517857142857133,0.8333333333333334,0.8333333333333334,0.25,0.2857142857142857,0.5249999999999999,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}"
7,Support Vector Classifier,0.5085956046641531,0.691699604743083,0.9130434782608695,0.2727272727272727,0.375,0.5531274728855374,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}"
8,Random Forest,0.5516306488045044,0.5663265306122449,0.7619047619047619,0.35714285714285715,0.4166666666666667,0.5966186428504503,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}"
12,Random Forest,0.7235119047619047,0.7777777777777777,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.7742063492063491,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
13,Random Forest,0.765625,0.9090909090909091,0.9090909090909091,0.75,0.75,0.7708333333333333,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}"
15,Support Vector Classifier,0.8177083333333333,0.8472222222222222,1.0,0.5,0.6666666666666666,0.8680555555555555,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}"
32,Random Forest,0.5362548664439137,0.5710227272727273,0.8125,0.36363636363636365,0.4444444444444444,0.5668583404437367,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
33,Support Vector Classifier,0.5379464285714286,0.625,0.5,0.25,0.2857142857142857,0.6220238095238095,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}"
34,Logistic Regression,0.4583333333333333,0.6666666666666666,0.75,0.6666666666666666,0.5714285714285714,0.42063492063492064,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 100.0}"
35,Logistic Regression,0.41897719314998727,0.56,0.7333333333333333,0.3,0.35294117647058826,0.4409891987097869,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 100.0}"
36,Logistic Regression,0.475,0.6190476190476191,0.8571428571428571,0.3333333333333333,0.4,0.5,"{'solver': 'saga', 'penalty': 'l2', 'C': 100.0}"
41,Random Forest,0.5928342490842491,0.7083333333333334,0.7,0.6666666666666666,0.6153846153846154,0.5853174603174603,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
168,Decision Tree,0.3958333333333333,0.5714285714285714,0.8571428571428571,0.5,0.5,0.3611111111111111,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10}"
169,Decision Tree,0.4285714285714286,0.537037037037037,0.7777777777777778,0.3333333333333333,0.4,0.4380952380952381,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}"
171,Random Forest,0.635,0.6666666666666666,0.7777777777777778,0.6,0.6,0.6466666666666667,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}"
202,Support Vector Classifier,0.5249999999999999,0.75,1.0,0.0,0.0,0.7,"{'kernel': 'linear', 'gamma': 'auto', 'C': 1000.0}"
