Dataset,Best Model,Combined Score,AUROC,Specificity,Sensitivity,F1 Score,PR AUC,Best Parameters,Transformation,Resample Strategy,Impute Strategy,Scaler,Feature Importance
1,Random Forest,0.5921585557299842,0.6538461538461537,0.8461538461538461,0.5714285714285714,0.6153846153846154,0.6112244897959183,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}", Yeo-Johnson,SMOTE,KNN,robust,"[0.05339385 0.05877232 0.05125856 0.06134033 0.0367805  0.03089081
 0.03525284 0.03063579 0.03923972 0.02357208 0.03830949 0.04307175
 0.05501247 0.03147007 0.04386642 0.05090198 0.03687521 0.03792196
 0.05620535 0.04477627 0.03271109 0.04113058 0.04362362 0.02298692]"
3,Decision Tree,0.5384033613445378,0.5934065934065933,0.5384615384615384,0.5714285714285714,0.4705882352941176,0.5285714285714285,"{'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': None}", Yeo-Johnson,ADASYN,KNN,robust,"[0.         0.         0.         0.         0.         0.0450379
 0.         0.         0.09853971 0.16899561 0.15908121 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.38886786
 0.         0.         0.00739048 0.11934503 0.0127422  0.
 0.         0.         0.         0.         0.         0.        ]"
4,Decision Tree,0.3266666666666666,0.4166666666666666,0.75,0.3333333333333333,0.3333333333333333,0.3111111111111111,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}", Yeo-Johnson,SMOTE,KNN,robust,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.58669173 0.02065217 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.12370266 0.         0.         0.
 0.         0.         0.         0.         0.24921659 0.
 0.         0.         0.         0.         0.         0.
 0.01973684 0.         0.         0.        ]"
5,Decision Tree,0.4758928571428571,0.7291666666666667,0.8333333333333334,0.5,0.5,0.4196428571428571,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}", log,ADASYN,KNN,robust,"[0.         0.         0.         0.39601244 0.         0.
 0.         0.         0.         0.23031    0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07106132 0.         0.
 0.         0.         0.         0.         0.276372   0.02624424
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
7,Decision Tree,0.5740841155279658,0.658102766798419,0.7391304347826086,0.6363636363636364,0.5833333333333334,0.4641187689316031,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}", log,SMOTE,KNN,robust,"[0.04791236 0.03848168 0.         0.06335348 0.         0.0544287
 0.         0.         0.05683447 0.         0.03552155 0.
 0.         0.00692947 0.         0.         0.02356021 0.
 0.06952618 0.10556685 0.         0.02141837 0.14931283 0.06086594
 0.02356021 0.         0.         0.02565445 0.0524938  0.
 0.         0.         0.         0.01701571 0.01884817 0.
 0.         0.         0.         0.         0.05949548 0.0078534
 0.05351329 0.         0.         0.         0.         0.0078534 ]"
8,Support Vector Classifier,0.5869888185159121,0.6292517006802721,0.3809523809523809,0.6428571428571429,0.5,0.5518674902911356,"{'kernel': 'linear', 'gamma': 'scale', 'C': 0.01}", log,SMOTE,KNN,robust,"[-0.07066412  0.06937833 -0.06129441 -0.00841864  0.02667946  0.17670936
  0.02960092  0.05748296 -0.15017354 -0.03971415  0.09102565  0.04790858
 -0.0295137  -0.02641474  0.01068574  0.05245165  0.04134271  0.01190674
  0.06319412 -0.01262965  0.0520573  -0.04430552  0.04644734 -0.01051594
  0.0145633  -0.00559387  0.12949135  0.00199814 -0.04429041  0.07694543
  0.0706515  -0.08002577  0.03556059 -0.08571454 -0.03784562  0.00514392
 -0.10474593  0.03009625  0.09954116  0.07011123 -0.04625494  0.03362113
  0.01576829  0.00111601  0.10335905 -0.10055311 -0.09564869 -0.03436885
 -0.03101769]"
9,Random Forest,0.5350132274599441,0.4887218045112781,0.4736842105263157,0.5714285714285714,0.5,0.4976631391521945,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}", log,SMOTE,KNN,robust,"[0.02182673 0.0277136  0.02841642 0.01052013 0.00656808 0.02107503
 0.06330351 0.01211791 0.03267738 0.01366501 0.01101396 0.02903633
 0.01833821 0.01057013 0.02070136 0.01359509 0.02018277 0.02088593
 0.01226203 0.0101996  0.01639601 0.02376432 0.01680092 0.01941164
 0.01439505 0.01663243 0.01205847 0.02670029 0.02237277 0.00850995
 0.01353192 0.01975057 0.02182854 0.01359435 0.0581831  0.00912929
 0.01718943 0.0142793  0.0166143  0.01940708 0.01350058 0.00785835
 0.01082669 0.01604999 0.01225001 0.04298614 0.04160405 0.02735709
 0.00954475 0.01185732 0.02094612]"
10,Random Forest,0.3119658119658119,0.4722222222222221,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.2621082621082621,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}", Yeo-Johnson,SMOTE,KNN,robust,"[0.01583732 0.0132257  0.01238966 0.00574601 0.0314896  0.00754014
 0.05768766 0.00395097 0.04388531 0.03079469 0.01130866 0.01187071
 0.01146143 0.00919599 0.01133672 0.00509039 0.02121263 0.01183355
 0.01790677 0.01732635 0.0048825  0.04617378 0.10149392 0.00820565
 0.00555423 0.01082925 0.03002931 0.0111333  0.01787634 0.01737479
 0.01256057 0.01511424 0.07536011 0.02599396 0.00367423 0.01040966
 0.04230772 0.01046553 0.01331521 0.01588907 0.00527706 0.01307648
 0.00684211 0.00489573 0.02089192 0.0074656  0.00327324 0.00674473
 0.01552642 0.01380128 0.05325003 0.01922181]"
12,Random Forest,0.6798809523809524,0.7777777777777777,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.7742063492063491,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}", log,ADASYN,KNN,robust,"[0.01020198 0.01144383 0.0082888  0.01787208 0.01042177 0.0169455
 0.0162177  0.01189463 0.01237182 0.01423602 0.01461933 0.02109329
 0.02424006 0.00931349 0.0130001  0.01281244 0.00833214 0.02796795
 0.01853558 0.00585923 0.01273315 0.01901995 0.01725721 0.01669905
 0.00939028 0.00995273 0.00930273 0.01323682 0.01253392 0.00712347
 0.00705113 0.01199131 0.00971904 0.04469073 0.0143289  0.01319965
 0.01355716 0.01158787 0.00999582 0.01088877 0.0106123  0.00967385
 0.017581   0.0216326  0.00830656 0.01699429 0.00760773 0.00869042
 0.00967979 0.01228003 0.00958135 0.01294752 0.00559616 0.01120684
 0.01016328 0.00757838 0.00724417 0.00845111 0.01880543 0.00940116
 0.03139255 0.03006337 0.00633263 0.00757556 0.01262842 0.00649168
 0.01479951 0.02534898 0.01317366 0.00806841 0.00661531 0.02366178
 0.02988671]"
13,Random Forest,0.75625,0.9090909090909092,0.9090909090909092,0.75,0.75,0.7708333333333333,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}", log,ADASYN,KNN,robust,"[1.71199311e-02 9.02518595e-03 1.13791220e-02 1.72270094e-02
 3.08658099e-01 5.32678777e-03 2.90167222e-03 5.65810273e-03
 6.26667866e-03 1.52935526e-02 9.15510440e-03 2.27084253e-02
 2.04764762e-03 6.05381134e-02 1.37901357e-03 1.25071879e-03
 1.24342789e-03 7.95251899e-03 3.48237286e-02 3.26852212e-03
 4.56750830e-03 7.45879013e-03 6.91798756e-03 2.03478311e-02
 7.48251528e-03 3.20895869e-03 1.45836305e-03 1.01964342e-02
 1.34192421e-03 1.51520034e-03 2.03379532e-03 1.32936508e-04
 4.36902388e-03 1.33333200e-03 1.43273504e-02 7.56687435e-04
 4.47531199e-03 2.91692981e-02 6.21052939e-03 5.19300401e-03
 1.89426526e-03 1.08188686e-03 5.97252038e-03 2.76023121e-02
 1.16230013e-03 1.12299459e-02 9.00345872e-03 1.47527939e-03
 1.08908743e-03 1.39750034e-02 1.21572551e-02 2.38476742e-03
 8.14833354e-04 1.54300864e-03 2.19350166e-02 5.15457172e-03
 1.76095410e-03 6.63021725e-03 1.99851882e-03 1.29930786e-03
 3.31601674e-03 3.70608204e-03 9.35659835e-04 1.41544774e-03
 1.96727233e-03 5.61157532e-02 9.47288923e-04 4.14835879e-03
 2.26928868e-03 2.27305897e-02 2.03691603e-03 6.57646641e-02
 4.54958159e-03 1.80217314e-02 1.87603872e-03 4.31465592e-03]"
