Dataset,Best Model,Combined Score,AUROC,Specificity,Sensitivity,F1 Score,PR AUC,Best Parameters,Transformation,Resample Strategy,Impute Strategy,Scaler,Feature Importance
1,Support Vector Classifier,0.6866509680795395,0.6483516483516483,0.3846153846153846,0.8571428571428571,0.5714285714285714,0.4793127507413221,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}", log,SMOTE,KNN,robust,
3,Support Vector Classifier,0.7224837662337662,0.8131868131868132,0.6923076923076923,0.7142857142857143,0.625,0.8011363636363635,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 0.1}", log,SMOTE,KNN,robust,
4,Decision Tree,0.3266666666666666,0.4166666666666666,0.75,0.3333333333333333,0.3333333333333333,0.3111111111111111,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}", Yeo-Johnson,SMOTE,KNN,robust,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.58669173 0.02065217 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.12370266 0.         0.         0.
 0.         0.         0.         0.         0.24921659 0.
 0.         0.         0.         0.         0.         0.
 0.01973684 0.         0.         0.        ]"
5,Decision Tree,0.4758928571428571,0.7291666666666667,0.8333333333333334,0.5,0.5,0.4196428571428571,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}", log,ADASYN,KNN,robust,"[0.         0.         0.         0.39601244 0.         0.
 0.         0.         0.         0.23031    0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07106132 0.         0.
 0.         0.         0.         0.         0.276372   0.02624424
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
7,Support Vector Classifier,0.7745222050676597,0.8063241106719368,0.782608695652174,0.8181818181818182,0.72,0.7381043199225018,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}", Yeo-Johnson,ADASYN,KNN,robust,
8,Support Vector Classifier,0.6161219933317456,0.4387755102040816,0.2857142857142857,0.7857142857142857,0.55,0.3775495015820093,"{'kernel': 'poly', 'gamma': 'auto', 'C': 10.0}", Yeo-Johnson,SMOTE,KNN,robust,
9,Support Vector Classifier,0.7067447078086817,0.5601503759398496,0.0,0.8571428571428571,0.5333333333333333,0.5716887085686218,"{'kernel': 'poly', 'gamma': 'scale', 'C': 0.01}", log,SMOTE,KNN,robust,
10,Random Forest,0.3119658119658119,0.4722222222222221,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.2621082621082621,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}", Yeo-Johnson,SMOTE,KNN,robust,"[0.01583732 0.0132257  0.01238966 0.00574601 0.0314896  0.00754014
 0.05768766 0.00395097 0.04388531 0.03079469 0.01130866 0.01187071
 0.01146143 0.00919599 0.01133672 0.00509039 0.02121263 0.01183355
 0.01790677 0.01732635 0.0048825  0.04617378 0.10149392 0.00820565
 0.00555423 0.01082925 0.03002931 0.0111333  0.01787634 0.01737479
 0.01256057 0.01511424 0.07536011 0.02599396 0.00367423 0.01040966
 0.04230772 0.01046553 0.01331521 0.01588907 0.00527706 0.01307648
 0.00684211 0.00489573 0.02089192 0.0074656  0.00327324 0.00674473
 0.01552642 0.01380128 0.05325003 0.01922181]"
12,Random Forest,0.6798809523809524,0.7777777777777777,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.7742063492063491,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}", log,ADASYN,KNN,robust,"[0.01020198 0.01144383 0.0082888  0.01787208 0.01042177 0.0169455
 0.0162177  0.01189463 0.01237182 0.01423602 0.01461933 0.02109329
 0.02424006 0.00931349 0.0130001  0.01281244 0.00833214 0.02796795
 0.01853558 0.00585923 0.01273315 0.01901995 0.01725721 0.01669905
 0.00939028 0.00995273 0.00930273 0.01323682 0.01253392 0.00712347
 0.00705113 0.01199131 0.00971904 0.04469073 0.0143289  0.01319965
 0.01355716 0.01158787 0.00999582 0.01088877 0.0106123  0.00967385
 0.017581   0.0216326  0.00830656 0.01699429 0.00760773 0.00869042
 0.00967979 0.01228003 0.00958135 0.01294752 0.00559616 0.01120684
 0.01016328 0.00757838 0.00724417 0.00845111 0.01880543 0.00940116
 0.03139255 0.03006337 0.00633263 0.00757556 0.01262842 0.00649168
 0.01479951 0.02534898 0.01317366 0.00806841 0.00661531 0.02366178
 0.02988671]"
13,Random Forest,0.75625,0.9090909090909092,0.9090909090909092,0.75,0.75,0.7708333333333333,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}", log,ADASYN,KNN,robust,"[1.71199311e-02 9.02518595e-03 1.13791220e-02 1.72270094e-02
 3.08658099e-01 5.32678777e-03 2.90167222e-03 5.65810273e-03
 6.26667866e-03 1.52935526e-02 9.15510440e-03 2.27084253e-02
 2.04764762e-03 6.05381134e-02 1.37901357e-03 1.25071879e-03
 1.24342789e-03 7.95251899e-03 3.48237286e-02 3.26852212e-03
 4.56750830e-03 7.45879013e-03 6.91798756e-03 2.03478311e-02
 7.48251528e-03 3.20895869e-03 1.45836305e-03 1.01964342e-02
 1.34192421e-03 1.51520034e-03 2.03379532e-03 1.32936508e-04
 4.36902388e-03 1.33333200e-03 1.43273504e-02 7.56687435e-04
 4.47531199e-03 2.91692981e-02 6.21052939e-03 5.19300401e-03
 1.89426526e-03 1.08188686e-03 5.97252038e-03 2.76023121e-02
 1.16230013e-03 1.12299459e-02 9.00345872e-03 1.47527939e-03
 1.08908743e-03 1.39750034e-02 1.21572551e-02 2.38476742e-03
 8.14833354e-04 1.54300864e-03 2.19350166e-02 5.15457172e-03
 1.76095410e-03 6.63021725e-03 1.99851882e-03 1.29930786e-03
 3.31601674e-03 3.70608204e-03 9.35659835e-04 1.41544774e-03
 1.96727233e-03 5.61157532e-02 9.47288923e-04 4.14835879e-03
 2.26928868e-03 2.27305897e-02 2.03691603e-03 6.57646641e-02
 4.54958159e-03 1.80217314e-02 1.87603872e-03 4.31465592e-03]"
15,Support Vector Classifier,0.839390756302521,0.8611111111111112,0.5833333333333334,1.0,0.7058823529411765,0.6607142857142857,"{'kernel': 'poly', 'gamma': 'auto', 'C': 10.0}", log,SMOTE,KNN,robust,
32,Support Vector Classifier,0.7233330465683406,0.5852272727272727,0.0,0.9090909090909092,0.5405405405405406,0.5355982797159268,"{'kernel': 'poly', 'gamma': 'scale', 'C': 0.01}", log,SMOTE,KNN,robust,
33,Support Vector Classifier,0.8392045454545455,0.6875,0.25,1.0,0.7272727272727273,0.6458333333333333,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}", Yeo-Johnson,ADASYN,KNN,robust,
34,Support Vector Classifier,0.7933333333333333,0.75,0.75,1.0,0.75,0.4777777777777778,"{'kernel': 'linear', 'gamma': 'auto', 'C': 1000.0}", log,ADASYN,KNN,standard,"[ 0.07579694 -0.02137796 -0.11610526  0.04479517 -0.06840393  0.07435952
 -0.06615509 -0.01879164 -0.03428502 -0.00630848  0.08070493 -0.01144028
 -0.18168935  0.03673342  0.19098168  0.06564967  0.06543428  0.00666392
 -0.01504381  0.04596502 -0.06021818 -0.05207231 -0.05232104 -0.00579071
 -0.03944899  0.05323888  0.01365634  0.05576116 -0.01215389 -0.20424453
 -0.14792277  0.07942564 -0.04808079 -0.03600549  0.01843145  0.07929691
  0.04970122 -0.04596196  0.05231141 -0.08161283  0.18692426 -0.16052198
 -0.11840747  0.0473532   0.04579881 -0.16227913  0.00324235  0.02760691
 -0.1039969   0.08757961  0.03148314 -0.03587256  0.04012164 -0.12052847
  0.04893855  0.06824725 -0.10546388 -0.04406515 -0.08102246  0.0307475
  0.05918172 -0.01505442 -0.0017012   0.05481138 -0.14035307  0.02240027
 -0.06228428  0.05261467  0.11599596  0.16771616  0.04823741  0.10351247
 -0.03710367  0.08127425 -0.01384935  0.04636708 -0.13790532  0.0070112
 -0.17577902 -0.05987263  0.1331125   0.02002059 -0.04892208  0.20909122
  0.20829598 -0.19321265  0.04481556 -0.10814924 -0.00968184 -0.10265284
  0.04361575  0.15491411  0.13013965 -0.01540252 -0.02420078]"
35,Decision Tree,0.5148611111111111,0.6333333333333334,0.8,0.5,0.5555555555555556,0.5125,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}", Yeo-Johnson,SMOTE,KNN,robust,"[0.         0.         0.23424077 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.09677958
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03950617 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.07751823 0.         0.         0.14146773 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.13333333 0.         0.099702   0.
 0.         0.         0.17745218]"
36,Support Vector Classifier,0.6242857142857143,0.8095238095238095,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.5888888888888889,"{'kernel': 'linear', 'gamma': 'auto', 'C': 1000.0}", log,SMOTE,KNN,robust,"[ 2.27849549e-02  1.08741837e-02 -1.59523889e-02 -2.14262246e-03
 -2.60753658e-02  6.51472367e-02 -2.86934338e-02  4.56792040e-02
 -1.45390658e-01 -1.29025984e-01 -7.88592891e-02 -1.02907807e-02
 -5.86915728e-02 -2.28440722e-03  1.05445251e-01  4.15263586e-02
 -7.16695504e-02  1.37279580e-01  2.75003544e-02 -8.56428002e-02
 -1.50151901e-01  5.00708800e-02  1.62196739e-01  2.38751993e-02
  5.19852276e-02  6.05559706e-02 -1.12890064e-01 -2.28992938e-02
 -8.22001271e-02 -1.29288180e-01  3.61916633e-02 -8.88222201e-02
 -8.18221403e-02  1.02895063e-01  5.37968492e-02 -4.01651018e-02
 -2.00398323e-01 -5.83832371e-02 -1.16429274e-01 -7.16445515e-02
 -2.35292731e-02 -3.93423843e-02  8.20619588e-02  7.37707940e-02
  4.51845505e-03  2.05388214e-02 -8.93594602e-02 -1.14596610e-01
  1.51736502e-01 -2.41747800e-01 -1.22781258e-01 -1.17858071e-02
 -7.25362780e-03 -1.53508301e-01  3.17907708e-02  3.61055196e-02
 -1.81410631e-01  2.28790945e-02  4.75764414e-02  1.63536770e-02
 -3.60820951e-02 -9.48405714e-02  5.23226934e-02  2.41308632e-02
 -1.11411694e-01 -7.34574954e-02 -3.43994149e-02 -2.83318041e-03
  9.07500297e-02 -2.20281730e-02 -6.16070282e-02 -2.36456018e-04
 -1.15448085e-01  2.17975338e-02 -5.69454880e-02  3.23274940e-02
  8.43652236e-02  9.81450411e-02 -4.10150246e-02  1.48712654e-01
 -9.50935548e-02 -7.29609164e-02  4.29915262e-02  3.09026858e-02
 -1.22994942e-01  4.85851095e-02 -1.34438176e-01 -3.20930820e-02
  1.72698222e-01 -6.87433407e-03 -1.45995096e-01  1.26142571e-01
  1.94975795e-01 -1.54221616e-01  4.58625950e-02 -8.50281227e-02
 -2.92319519e-02 -3.55114095e-02  1.61796744e-01  8.48905610e-02
  1.68086349e-01  6.81633959e-02  2.11533286e-02]"
41,Support Vector Classifier,0.7194444444444446,0.6666666666666666,0.3,0.8333333333333334,0.5555555555555556,0.6388888888888888,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}", log,SMOTE,KNN,standard,
168,Decision Tree,0.4583333333333333,0.5714285714285714,0.8571428571428571,0.5,0.5,0.3611111111111111,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10}", log,ADASYN,KNN,robust,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.02312925 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.65024631 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.32662444 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]"
169,Decision Tree,0.6399999999999999,0.6666666666666665,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.5777777777777777,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}", Yeo-Johnson,SMOTE,KNN,robust,"[0.         0.         0.         0.         0.0327381  0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.03306878 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.12333516
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.43410293 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.20182117 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.17493386 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]"
171,Support Vector Classifier,0.7123400809716599,0.4222222222222223,0.0,1.0,0.5263157894736842,0.3569230769230769,"{'kernel': 'poly', 'gamma': 'scale', 'C': 0.01}", Yeo-Johnson,SMOTE,KNN,standard,
202,Decision Tree,0.4175,0.5833333333333334,0.6666666666666666,0.5,0.4,0.2916666666666666,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}", log,ADASYN,KNN,robust,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.27272727 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.72727273 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]"
