Dataset,Top Features,Top Importance
1,,
3,,
4,"['IFNa_CD8_pos_pSTAT5', 'Unstim_B_cell_pSTAT1', 'IFNg_CD8_pos_pSTAT5', 'IFNa_Mono_pSTAT1', 'Unstim_CD8_pos_pSTAT5']",[0.58669173 0.24921659 0.12370266 0.02065217 0.01973684]
5,"['CD161_pos_CD45RA_pos_Tregs', 'IgD_pos_CD27_pos_B_cells', 'CD85j_pos_CD8_pos_T_cells', 'HLADR_pos_CD38_neg_CD8_pos_T_cells', 'memory_B_cells']",[0.39601244 0.276372   0.23031    0.07106132 0.02624424]
7,,
8,,
9,,
10,"['effector_CD8_pos_T_cells', 'HLADR_pos_NK_cells', 'CD161_pos_NK_cells', 'transitional_B_cells', 'effector_CD4_pos_T_cells']",[0.10149392 0.07536011 0.05768766 0.05325003 0.04617378]
12,"['L50_IL1RA', 'L50_VEGF', 'Unstim_B_cell_pSTAT1', 'Unstim_Mono_pSTAT5', 'L50_GMCSF']",[0.04469073 0.03139255 0.03006337 0.02988671 0.02796795]
13,"['CD161_pos_CD45RA_pos_Tregs', 'Th2_non_neg_TFH_CD8_pos_T_cells', 'CD27_pos_CD8_pos_T_cells', 'Th17_TFH_CD8_pos_T_cells', 'CD57_pos_CD4_pos_T_cells']",[0.3086581  0.06576466 0.06053811 0.05611575 0.03482373]
15,,
32,,
33,,
34,"['memory_B_cells', 'monocytes', 'effector_CD8_pos_T_cells', 'L50_HGF', 'L50_MIP1B']",[0.20909122 0.20829598 0.19098168 0.18692426 0.16771616]
35,"['CD161_pos_CD45RA_neg_Tregs', 'Tregs', 'L50_MCP3', 'naive_CD8_pos_T_cells', 'NKT_cells']",[0.23424077 0.17745218 0.14146773 0.13333333 0.099702  ]
36,"['monocytes', 'L50_TRAIL', 'TNFA', 'effector_CD8_pos_T_cells', 'plasmablasts']",[0.1949758  0.17269822 0.16808635 0.16219674 0.16179674]
41,,
168,"['IL_neg_21_CD8_pos_CD45RA_pos_pSTAT5', 'Unstim_CD4_pos_CD45RA_pos_pSTAT5', 'IFNa_Mono_pSTAT5', 'IgD_neg_CD27_neg_B_cells', 'IL_neg_10_CD4_pos_CD45RA_neg_pSTAT5']",[0.65024631 0.32662444 0.02312925 0.         0.        ]
169,"['IL_neg_10_CD4_pos_pSTAT1', 'IL_neg_6_CD8_pos_pSTAT1', 'L50_MCP1', 'IgD_pos_CD27_neg_B_cells', 'IFNg_B_cell_pSTAT3']",[0.43410293 0.20182117 0.17493386 0.12333516 0.03306878]
171,,
202,"['IL_neg_6_CD4_pos_pSTAT5', 'IL_neg_10_CD4_pos_CD45RA_neg_pSTAT5', 'IL_neg_10_CD4_pos_CD45RA_neg_pSTAT3', 'IL_neg_10_CD4_pos_CD45RA_pos_pSTAT1', 'IL_neg_10_CD4_pos_CD45RA_pos_pSTAT3']",[0.72727273 0.27272727 0.         0.         0.        ]
