Dataset,Best Model,AUROC,Specificity,Sensitivity,Best Parameters
1,Naive Bayes,0.7692307692307692,0.6153846153846154,0.7142857142857143,{'var_smoothing': 1e-09}
3,Naive Bayes,0.8241758241758241,0.6153846153846154,0.7142857142857143,{'var_smoothing': 0.01}
5,Random Forest,0.8541666666666667,0.8333333333333334,0.25,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
7,Support Vector Classifier,0.7707509881422925,0.9565217391304348,0.18181818181818182,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}"
8,Support Vector Classifier,0.5578231292517006,0.6666666666666666,0.2857142857142857,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}"
10,Naive Bayes,0.6111111111111112,0.9166666666666666,0.3333333333333333,{'var_smoothing': 1e-09}
12,Logistic Regression,0.6388888888888888,0.6666666666666666,0.3333333333333333,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 100.0}"
13,Decision Tree,0.8636363636363636,0.7272727272727273,1.0,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}"
15,Random Forest,0.8888888888888888,0.9166666666666666,0.6666666666666666,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
32,Support Vector Classifier,0.6193181818181818,0.75,0.36363636363636365,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}"
33,Random Forest,0.6875,0.25,1.0,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}"
34,Logistic Regression,0.5833333333333333,0.75,0.0,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 1000.0}"
35,Decision Tree,0.6300000000000001,0.8,0.3,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}"
36,Support Vector Classifier,0.7142857142857143,0.8571428571428571,0.0,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}"
41,Naive Bayes,0.675,0.3,0.8333333333333334,{'var_smoothing': 1e-09}
169,Support Vector Classifier,0.5740740740740741,0.7777777777777778,0.3333333333333333,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}"
171,Naive Bayes,0.7111111111111111,0.6666666666666666,0.6,{'var_smoothing': 1e-09}
202,Logistic Regression,0.5833333333333333,1.0,0.0,"{'solver': 'saga', 'penalty': 'l2', 'C': 100.0}"
