Dataset,Best Model,AUROC,Specificity,Sensitivity,Best Parameters
1,Naive Bayes,0.6813186813186813,0.46153846153846156,0.5714285714285714,{'var_smoothing': 1e-09}
3,Naive Bayes,0.8241758241758241,0.6923076923076923,0.7142857142857143,{'var_smoothing': 0.01}
5,Random Forest,0.8333333333333334,0.8333333333333334,0.25,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}"
7,Random Forest,0.691699604743083,0.8695652173913043,0.36363636363636365,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
8,Random Forest,0.5646258503401361,0.7142857142857143,0.35714285714285715,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}"
10,Decision Tree,0.7916666666666666,0.9166666666666666,0.6666666666666666,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}"
12,Random Forest,0.7777777777777777,0.6666666666666666,0.6666666666666666,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
13,Decision Tree,0.9318181818181818,0.9090909090909091,0.5,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}"
15,Naive Bayes,0.9027777777777779,0.8333333333333334,0.8333333333333334,{'var_smoothing': 1e-09}
32,Support Vector Classifier,0.6022727272727273,0.75,0.36363636363636365,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}"
33,Random Forest,0.6875,0.25,1.0,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}"
34,Random Forest,0.7083333333333334,0.75,0.0,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
35,Logistic Regression,0.56,0.7333333333333333,0.3,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 100.0}"
36,Support Vector Classifier,0.6666666666666666,0.8571428571428571,0.0,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}"
41,Random Forest,0.7833333333333333,0.7,0.8333333333333334,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}"
168,Decision Tree,0.5714285714285714,0.8571428571428571,0.5,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10}"
169,Naive Bayes,0.5555555555555556,0.6666666666666666,0.3333333333333333,{'var_smoothing': 1e-09}
171,Naive Bayes,0.6888888888888889,0.5555555555555556,0.6,{'var_smoothing': 1e-09}
202,Logistic Regression,0.5833333333333334,1.0,0.0,"{'solver': 'saga', 'penalty': 'l2', 'C': 100.0}"
