Dataset,Best Model,AUROC,Specificity,Sensitivity,Best Parameters
1,Naive Bayes,0.7582417582417582,0.7692307692307693,0.7142857142857143,{'var_smoothing': 0.01}
3,Naive Bayes,0.7912087912087912,0.6153846153846154,0.5714285714285714,{'var_smoothing': 1e-09}
5,Random Forest,0.7604166666666667,0.8333333333333334,0.25,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
7,Support Vector Classifier,0.7549407114624506,0.9130434782608695,0.18181818181818182,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}"
8,Decision Tree,0.6071428571428571,0.7142857142857143,0.5,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
10,Decision Tree,0.6666666666666667,0.8333333333333334,0.3333333333333333,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}"
12,Random Forest,0.701388888888889,0.6666666666666666,0.6666666666666666,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
13,Random Forest,0.8863636363636364,0.9090909090909091,0.25,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
15,Naive Bayes,0.8888888888888888,0.8333333333333334,0.6666666666666666,{'var_smoothing': 1e-09}
32,Decision Tree,0.6647727272727273,0.625,0.5454545454545454,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}"
33,Random Forest,0.6875,0.25,1.0,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}"
34,Random Forest,0.6666666666666666,0.75,0.0,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
36,Random Forest,0.7142857142857142,0.8571428571428571,0.3333333333333333,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}"
41,Random Forest,0.7166666666666667,0.8,0.5,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}"
169,Support Vector Classifier,0.6296296296296297,0.6666666666666666,0.6666666666666666,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}"
171,Decision Tree,0.7000000000000001,0.8888888888888888,0.6,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}"
202,Logistic Regression,0.5833333333333334,1.0,0.0,"{'solver': 'saga', 'penalty': 'l2', 'C': 100.0}"
