Dataset,Best Model,Combined Score,AUROC,Specificity,Sensitivity,F1 Score,PR AUC,Best Parameters,Feature Importance
1,Support Vector Classifier,0.5691713925172572,0.4725274725274725,0.46153846153846156,0.7142857142857143,0.5263157894736842,0.3558845915988773,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
3,Random Forest,0.5090062569009937,0.6703296703296703,0.7692307692307693,0.42857142857142855,0.46153846153846156,0.6747095010252904,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}","[0.0212822  0.02924525 0.03908301 0.01258397 0.02132312 0.0298223
 0.01831201 0.03133254 0.02284131 0.0227359  0.02696493 0.03101424
 0.02286609 0.03796546 0.04944445 0.03464167 0.02140414 0.02934582
 0.01513319 0.0269758  0.02794376 0.02419819 0.02147354 0.06345024
 0.01880309 0.02067762 0.02266691 0.04105976 0.02172283 0.01684704
 0.02456431 0.03619118 0.0209004  0.0286532  0.03274389 0.03378664]"
5,Decision Tree,0.4758928571428571,0.7291666666666667,0.8333333333333334,0.5,0.5,0.41964285714285715,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}","[0.         0.         0.         0.39601244 0.         0.
 0.         0.         0.         0.23031    0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07106132 0.         0.
 0.         0.         0.         0.         0.276372   0.02624424
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
7,Logistic Regression,0.4700986647760841,0.6758893280632411,0.7391304347826086,0.45454545454545453,0.45454545454545453,0.5063894886475532,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 1000.0}","[  7.15283948   4.9457845   -2.76231491   0.66347589   7.27793949
  -6.42995547   4.83437328  -1.07744546   4.36961692 -10.80230564
   3.2929897   -1.81994598   6.79455573   3.67878765   9.15713147
   8.49468154  -3.79139491  15.8660869   -3.09692296  13.52626998
  -4.33258842  16.2435194  -12.13147287  -4.57461872 -10.2687567
   1.49185457  -4.27244038 -15.07246432   3.47704353  -1.59708977
   3.91758259  10.100518     3.27120279  15.01831842   8.98509627
   7.31299033 -12.74063925  15.89834689   7.8734715    6.63548492
   3.71290751 -17.03045876   1.49661961 -25.82954111 -10.15897065
   8.33822547  11.61069798  10.04187238]"
8,Random Forest,0.4404051410340301,0.5646258503401361,0.7142857142857143,0.35714285714285715,0.4,0.6061123748753383,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}","[0.03452065 0.02697846 0.01548427 0.01216536 0.00893085 0.04957879
 0.0048004  0.05045241 0.04431757 0.01736271 0.04484039 0.00636146
 0.01006246 0.01446665 0.0057184  0.01504284 0.00922952 0.01025179
 0.01045004 0.02304932 0.03742721 0.0140913  0.00683596 0.01835638
 0.00544665 0.01362405 0.02155076 0.00910682 0.01073876 0.01917418
 0.03656414 0.02874686 0.01297266 0.0223861  0.01332451 0.01927483
 0.02045305 0.00683225 0.01417779 0.02228419 0.01692443 0.01713636
 0.00884937 0.00584465 0.06475851 0.06301911 0.02185092 0.01369267
 0.0204912 ]"
12,Random Forest,0.6798809523809524,0.7777777777777777,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.7742063492063491,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}","[0.01020198 0.01144383 0.0082888  0.01787208 0.01042177 0.0169455
 0.0162177  0.01189463 0.01237182 0.01423602 0.01461933 0.02109329
 0.02424006 0.00931349 0.0130001  0.01281244 0.00833214 0.02796795
 0.01853558 0.00585923 0.01273315 0.01901995 0.01725721 0.01669905
 0.00939028 0.00995273 0.00930273 0.01323682 0.01253392 0.00712347
 0.00705113 0.01199131 0.00971904 0.04469073 0.0143289  0.01319965
 0.01355716 0.01158787 0.00999582 0.01088877 0.0106123  0.00967385
 0.017581   0.0216326  0.00830656 0.01699429 0.00760773 0.00869042
 0.00967979 0.01228003 0.00958135 0.01294752 0.00559616 0.01120684
 0.01016328 0.00757838 0.00724417 0.00845111 0.01880543 0.00940116
 0.03139255 0.03006337 0.00633263 0.00757556 0.01262842 0.00649168
 0.01479951 0.02534898 0.01317366 0.00806841 0.00661531 0.02366178
 0.02988671]"
13,Random Forest,0.75625,0.9090909090909091,0.9090909090909091,0.75,0.75,0.7708333333333333,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}","[1.71199311e-02 9.02518595e-03 1.13791220e-02 1.72270094e-02
 3.08658099e-01 5.32678777e-03 2.90167222e-03 5.65810273e-03
 6.26667866e-03 1.52935526e-02 9.15510440e-03 2.27084253e-02
 2.04764762e-03 6.05381134e-02 1.37901357e-03 1.25071879e-03
 1.24342789e-03 7.95251899e-03 3.48237286e-02 3.26852212e-03
 4.56750830e-03 7.45879013e-03 6.91798756e-03 2.03478311e-02
 7.48251528e-03 3.20895869e-03 1.45836305e-03 1.01964342e-02
 1.34192421e-03 1.51520034e-03 2.03379532e-03 1.32936508e-04
 4.36902388e-03 1.33333200e-03 1.43273504e-02 7.56687435e-04
 4.47531199e-03 2.91692981e-02 6.21052939e-03 5.19300401e-03
 1.89426526e-03 1.08188686e-03 5.97252038e-03 2.76023121e-02
 1.16230013e-03 1.12299459e-02 9.00345872e-03 1.47527939e-03
 1.08908743e-03 1.39750034e-02 1.21572551e-02 2.38476742e-03
 8.14833354e-04 1.54300864e-03 2.19350166e-02 5.15457172e-03
 1.76095410e-03 6.63021725e-03 1.99851882e-03 1.29930786e-03
 3.31601674e-03 3.70608204e-03 9.35659835e-04 1.41544774e-03
 1.96727233e-03 5.61157532e-02 9.47288923e-04 4.14835879e-03
 2.26928868e-03 2.27305897e-02 2.03691603e-03 6.57646641e-02
 4.54958159e-03 1.80217314e-02 1.87603872e-03 4.31465592e-03]"
15,Support Vector Classifier,0.808015873015873,0.7708333333333334,0.6666666666666666,1.0,0.75,0.5267195767195767,"{'kernel': 'poly', 'gamma': 'auto', 'C': 10.0}",
32,Support Vector Classifier,0.7184592812167183,0.5511363636363636,0.0,0.9090909090909091,0.5405405405405406,0.5193523952105188,"{'kernel': 'poly', 'gamma': 'scale', 'C': 0.01}",
33,Random Forest,0.8133116883116883,0.5,0.25,1.0,0.7272727272727273,0.5595238095238095,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}","[0.01678962 0.00722626 0.00498761 0.00922368 0.01221708 0.00452589
 0.00221707 0.00828222 0.00250896 0.00597605 0.00802665 0.17046592
 0.005778   0.00668677 0.00348223 0.02369351 0.00247727 0.0022883
 0.01675248 0.0063627  0.01407301 0.02922214 0.00073073 0.002401
 0.0269196  0.00564724 0.00418039 0.00665133 0.00572294 0.00167967
 0.12084852 0.00111458 0.00650558 0.00561881 0.0040057  0.00038571
 0.00312899 0.00043945 0.00461601 0.00399758 0.0003125  0.0092936
 0.01062168 0.         0.00258225 0.00842252 0.00111429 0.00685473
 0.00468466 0.00151605 0.0133491  0.05724805 0.00076715 0.00557725
 0.00213147 0.00067143 0.00070211 0.00874458 0.0103539  0.00543401
 0.0028986  0.01955662 0.00358506 0.02012575 0.01268435 0.00743074
 0.00152567 0.0053976  0.00558763 0.00778108 0.00139461 0.0056285
 0.00080128 0.00075    0.00249397 0.00086081 0.00508141 0.0006993
 0.02731618 0.00954766 0.00574208 0.04612477 0.004228   0.02498213
 0.00428372 0.00372767 0.01951689 0.00500776 0.00296557 0.00077778
 0.01811474 0.00447681 0.00066667]"
