Dataset,Best Model,Combined Score,AUROC,Specificity,Sensitivity,F1 Score,PR AUC,Best Parameters,Feature Importance
1,Support Vector Classifier,0.6065851859084942,0.6263736263736264,0.5384615384615384,0.7142857142857143,0.5555555555555556,0.4611040588484197,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
3,Support Vector Classifier,0.6730702630702631,0.6043956043956044,0.46153846153846156,0.8571428571428571,0.6,0.414996114996115,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
4,Decision Tree,0.3033549783549784,0.47916666666666663,0.625,0.3333333333333333,0.2857142857142857,0.26515151515151514,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}","[0.         0.         0.         0.         0.         0.
 0.06039886 0.         0.42885211 0.07221603 0.         0.
 0.         0.         0.06902727 0.         0.         0.
 0.         0.         0.11293524 0.         0.         0.
 0.         0.         0.         0.         0.18504553 0.
 0.         0.         0.         0.         0.         0.
 0.07152497 0.         0.         0.        ]"
5,Decision Tree,0.4758928571428571,0.7291666666666667,0.8333333333333334,0.5,0.5,0.41964285714285715,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}","[0.         0.         0.         0.4145578  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07371749 0.         0.
 0.         0.         0.         0.         0.24799971 0.0275348
 0.         0.         0.         0.         0.         0.2361902
 0.         0.         0.         0.         0.         0.        ]"
7,Support Vector Classifier,0.7745222050676597,0.8063241106719368,0.782608695652174,0.8181818181818182,0.72,0.7381043199225018,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
8,Decision Tree,0.46550922291993724,0.5731292517006803,0.7142857142857143,0.42857142857142855,0.46153846153846156,0.5297193877551021,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}","[0.         0.06387389 0.         0.         0.         0.14341007
 0.         0.10568589 0.04049016 0.07583796 0.         0.
 0.         0.         0.         0.02002923 0.10026526 0.
 0.         0.         0.02842409 0.         0.         0.
 0.         0.         0.         0.         0.         0.0603665
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07862187 0.06104147 0.
 0.         0.11556261 0.         0.06305499 0.04333598 0.
 0.        ]"
10,Random Forest,0.08333333333333333,0.4444444444444444,0.9166666666666666,0.0,0.0,0.2777777777777778,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}","[0.00468311 0.01010344 0.00952718 0.0086141  0.00944076 0.00654496
 0.05391914 0.00761923 0.05168227 0.04704319 0.02007833 0.01131176
 0.01899367 0.00962115 0.02117131 0.00931532 0.01203884 0.01044325
 0.01212567 0.01632177 0.01192381 0.04289111 0.07865825 0.01829941
 0.00505387 0.01384193 0.03159901 0.00877728 0.01825189 0.01919219
 0.0197063  0.02589027 0.05372808 0.02080077 0.00695125 0.00598821
 0.05805004 0.00578019 0.00655301 0.00777265 0.02109963 0.00838394
 0.00714514 0.01295306 0.00903987 0.00812949 0.00756749 0.00868905
 0.02364491 0.0094045  0.05881843 0.01481654]"
12,Logistic Regression,0.5062803862803863,0.6666666666666666,0.5833333333333334,0.5,0.42857142857142855,0.5685536685536686,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 100.0}","[-0.83177317 -0.66018096  0.38470446 -0.55728093 -0.30755652  0.34345092
  0.35333103 -2.35886604 -2.19967464 -0.67382998  0.8057291   1.02393275
 -4.60525817  2.13962567  2.00934295  2.31497173 -2.03379563  3.91615075
 -1.6926499   3.01180896  0.11566884  0.13732994 -2.37194965  1.47632565
 -1.60758085 -0.20352059 -0.29372176 -0.84200573 -1.66222843  0.67198261
  0.38387437 -0.02220101  2.57584996 -3.01728278 -2.10134733 -6.01418829
 -1.35738264  0.67697984  3.34121217 -0.12386591  1.72602683  1.78148818
  5.77766765 -3.59639508 -1.63918166 -0.99528904 -1.44084365  2.06018458
  2.414712    4.66250647  1.13784722 -1.16321545  1.15342043 -2.64825794
  0.98642031  1.20340844 -1.81905133 -2.68313326 -0.60528375  0.20467981
 -2.57660757  0.82243149  3.26912237 -0.98260386  0.1724      1.4576085
  0.38930558 -0.87624904  1.12528793  0.13266247  1.37989314  1.26493333
  3.4454008 ]"
13,Random Forest,0.52,0.8409090909090908,0.8181818181818182,0.5,0.5,0.5666666666666667,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}","[0.01189314 0.02146513 0.02694565 0.02172278 0.07250246 0.01625556
 0.00625501 0.01180974 0.01010224 0.02191105 0.02224923 0.01668882
 0.00235446 0.02702753 0.01227201 0.00484723 0.00874874 0.00399257
 0.02208178 0.00587041 0.00638692 0.01352815 0.01183941 0.01684634
 0.02281863 0.00916725 0.00362201 0.01481329 0.00884513 0.00555634
 0.00391544 0.00308696 0.00358478 0.01108812 0.00553073 0.00322088
 0.02083336 0.02620231 0.01359449 0.00614583 0.00559483 0.00911924
 0.0068637  0.03554558 0.00472924 0.00551664 0.00766089 0.01047205
 0.00444951 0.00961347 0.005575   0.01017559 0.00441186 0.00769418
 0.01542249 0.02069236 0.00295507 0.02551523 0.00348655 0.01744148
 0.00942249 0.00987642 0.0032862  0.0060708  0.00312123 0.02492535
 0.00482031 0.03366401 0.00591583 0.0216623  0.0067779  0.04475073
 0.00615239 0.03168792 0.01191703 0.00539226]"
15,Support Vector Classifier,0.75375,0.8472222222222222,1.0,0.6666666666666666,0.8,0.8680555555555555,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}",
32,Support Vector Classifier,0.5492123181725629,0.5284090909090908,0.3125,0.6363636363636364,0.4827586206896552,0.44826258617604564,"{'kernel': 'poly', 'gamma': 'auto', 'C': 10.0}",
33,Support Vector Classifier,0.8392045454545455,0.6875,0.25,1.0,0.7272727272727273,0.6458333333333333,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
34,Decision Tree,0.3033549783549784,0.4375,0.625,0.3333333333333333,0.2857142857142857,0.26515151515151514,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}","[0.         0.         0.17554501 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.04417167 0.04723118 0.10502724 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.03480193
 0.12649161 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.31915781
 0.         0.         0.         0.         0.         0.14757355
 0.         0.         0.         0.         0.        ]"
35,Decision Tree,0.35914285714285715,0.59,0.8,0.3,0.375,0.4471428571428572,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}","[0.         0.06348758 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.03527088
 0.         0.03883156 0.         0.         0.         0.11025608
 0.         0.         0.         0.         0.         0.
 0.         0.08888262 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.1148386  0.         0.         0.         0.         0.
 0.         0.01146304 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.07376916 0.07739439
 0.         0.1553341  0.         0.         0.         0.
 0.         0.04111577 0.         0.         0.03112137 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07524454 0.         0.
 0.         0.         0.08299031]"
36,Decision Tree,0.5776190476190476,0.6428571428571428,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.43333333333333335,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10}","[0.         0.         0.         0.         0.17089453 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.60775771 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.22134776 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]"
41,Support Vector Classifier,0.6963345864661654,0.625,0.2,0.8333333333333334,0.5263157894736842,0.5813492063492063,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
168,Decision Tree,0.3704761904761905,0.4642857142857143,0.42857142857142855,0.5,0.2857142857142857,0.2111111111111111,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.1834494  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.23733766
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.45511481 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.12409812 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]"
169,Random Forest,0.4070920745920746,0.46296296296296297,0.7777777777777778,0.3333333333333333,0.4,0.5347513597513598,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}","[0.         0.0036989  0.00095738 0.00173664 0.00230226 0.00165789
 0.01601003 0.02519934 0.00474303 0.         0.00060811 0.00688958
 0.         0.00143492 0.00267079 0.0004214  0.         0.00762041
 0.00104499 0.00015161 0.01377606 0.00048701 0.0538875  0.0026571
 0.00401256 0.01210224 0.00068793 0.00317306 0.00017128 0.00129176
 0.00015802 0.00304847 0.00016297 0.01150504 0.00016148 0.00060345
 0.01030786 0.00118787 0.         0.03879971 0.00061813 0.00232013
 0.02842306 0.00077237 0.00050702 0.00105674 0.00058045 0.00350065
 0.00091365 0.00017476 0.00015372 0.00041425 0.00063068 0.
 0.04061433 0.         0.02804551 0.00017027 0.00666801 0.01690543
 0.00015226 0.00310721 0.         0.         0.01351443 0.
 0.01840079 0.00322326 0.         0.0013833  0.03478778 0.00310946
 0.00352098 0.         0.         0.00615247 0.         0.00163746
 0.00542651 0.00015215 0.0006457  0.         0.00337772 0.00430509
 0.00176135 0.0001681  0.         0.         0.         0.
 0.         0.0020086  0.00181839 0.00402544 0.00335367 0.
 0.00192346 0.00019473 0.00257938 0.00087281 0.         0.00102625
 0.00257079 0.00071587 0.         0.06833653 0.01188179 0.00080283
 0.00194927 0.         0.00045902 0.         0.0001555  0.
 0.07011103 0.         0.00135272 0.         0.         0.
 0.01562223 0.00176329 0.00419795 0.00381985 0.00059248 0.
 0.00152659 0.         0.00061699 0.00109972 0.0013364  0.00124165
 0.00792462 0.00017094 0.00016067 0.         0.00917237 0.
 0.00441088 0.00189871 0.00032685 0.00642034 0.00388728 0.00034753
 0.00549758 0.00109541 0.         0.00388331 0.00597546 0.00213858
 0.01089342 0.02495868 0.00015858 0.01359494 0.01262265 0.00405649
 0.00188679 0.         0.00140999 0.         0.00137509 0.
 0.00272742 0.00177235 0.00069613 0.00059411 0.00110588 0.0019301
 0.         0.00139961 0.00016051 0.02347233 0.         0.00106806
 0.         0.01463903 0.00017962 0.00895071 0.00400656 0.
 0.00464973 0.0013022  0.00423468 0.00030458 0.00132756 0.00275747
 0.00148822 0.00176383 0.00262005 0.00168153 0.00310501 0.
 0.00203796 0.         0.         0.         0.00016189 0.
 0.         0.00070326 0.00015933 0.         0.00084419 0.00448869
 0.00058427 0.00121965 0.0001586  0.00459936 0.         0.00199895
 0.0004543  0.00015802 0.00015305 0.00141632 0.00379153 0.00171039
 0.         0.         0.00068158 0.00136391 0.00017203 0.0006
 0.00394451 0.         0.         0.00154911 0.00260113 0.
 0.         0.00325221 0.00017892 0.00980521 0.00080873 0.00062575
 0.00165012 0.00193437 0.00118553 0.00068011 0.00690424 0.00671234
 0.00425781 0.00015899 0.0025829  0.00116738 0.00015031 0.
 0.         0.         0.         0.00579048 0.00032227 0.
 0.00016769 0.         0.         0.00832584 0.         0.00334149
 0.00151817 0.         0.0026194  0.00346511 0.00031224 0.
 0.00032658 0.003263   0.00015731]"
