Dataset,Best Model,Combined Score,AUROC,Specificity,Sensitivity,F1 Score,PR AUC,Best Parameters,Feature Importance
1,Support Vector Classifier,0.5696584055042702,0.48901098901098894,0.46153846153846156,0.7142857142857143,0.5263157894736842,0.35750796822225395,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
3,Support Vector Classifier,0.5977490996398559,0.5384615384615384,0.6153846153846154,0.7142857142857143,0.5882352941176471,0.40986394557823125,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}",
5,Decision Tree,0.4758928571428571,0.7291666666666667,0.8333333333333334,0.5,0.5,0.41964285714285715,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}","[0.         0.         0.         0.39601244 0.         0.
 0.         0.         0.         0.23031    0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07106132 0.         0.
 0.         0.         0.         0.         0.276372   0.02624424
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
7,Logistic Regression,0.4659670717314476,0.6324110671936759,0.782608695652174,0.45454545454545453,0.47619047619047616,0.47818749740208366,"{'solver': 'saga', 'penalty': 'l2', 'C': 100.0}","[ 2.75248275  1.60893738 -0.46281208  0.35486701  2.25942676 -1.45713958
  1.95856911 -0.46357334  0.73198699 -3.68586137  3.14051207 -1.46277238
  1.33382866  1.544335    3.27293301  2.75576626 -1.41455704  5.58480725
 -1.306877    6.44232499 -1.54752872  4.96216278 -3.9247501  -1.70530804
 -4.31834663  0.32696303 -1.17317468 -5.01348435  1.3050476  -0.5303557
  1.7004508   4.24581377  1.0747365   4.54213456  2.89841412  2.00087344
 -4.28801752  5.74714925  2.68995158  2.65929993  1.68046605 -4.59637112
  1.47961628 -8.42735813 -3.44176295  3.48594603  3.74116784  3.72196651]"
8,Support Vector Classifier,0.44785367643560925,0.4387755102040817,0.47619047619047616,0.5,0.4375,0.3678455881186974,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
12,Random Forest,0.6798809523809524,0.7777777777777777,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.7742063492063491,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}","[0.01020198 0.01144383 0.0082888  0.01787208 0.01042177 0.0169455
 0.0162177  0.01189463 0.01237182 0.01423602 0.01461933 0.02109329
 0.02424006 0.00931349 0.0130001  0.01281244 0.00833214 0.02796795
 0.01853558 0.00585923 0.01273315 0.01901995 0.01725721 0.01669905
 0.00939028 0.00995273 0.00930273 0.01323682 0.01253392 0.00712347
 0.00705113 0.01199131 0.00971904 0.04469073 0.0143289  0.01319965
 0.01355716 0.01158787 0.00999582 0.01088877 0.0106123  0.00967385
 0.017581   0.0216326  0.00830656 0.01699429 0.00760773 0.00869042
 0.00967979 0.01228003 0.00958135 0.01294752 0.00559616 0.01120684
 0.01016328 0.00757838 0.00724417 0.00845111 0.01880543 0.00940116
 0.03139255 0.03006337 0.00633263 0.00757556 0.01262842 0.00649168
 0.01479951 0.02534898 0.01317366 0.00806841 0.00661531 0.02366178
 0.02988671]"
13,Random Forest,0.75625,0.9090909090909091,0.9090909090909091,0.75,0.75,0.7708333333333333,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}","[1.71199311e-02 9.02518595e-03 1.13791220e-02 1.72270094e-02
 3.08658099e-01 5.32678777e-03 2.90167222e-03 5.65810273e-03
 6.26667866e-03 1.52935526e-02 9.15510440e-03 2.27084253e-02
 2.04764762e-03 6.05381134e-02 1.37901357e-03 1.25071879e-03
 1.24342789e-03 7.95251899e-03 3.48237286e-02 3.26852212e-03
 4.56750830e-03 7.45879013e-03 6.91798756e-03 2.03478311e-02
 7.48251528e-03 3.20895869e-03 1.45836305e-03 1.01964342e-02
 1.34192421e-03 1.51520034e-03 2.03379532e-03 1.32936508e-04
 4.36902388e-03 1.33333200e-03 1.43273504e-02 7.56687435e-04
 4.47531199e-03 2.91692981e-02 6.21052939e-03 5.19300401e-03
 1.89426526e-03 1.08188686e-03 5.97252038e-03 2.76023121e-02
 1.16230013e-03 1.12299459e-02 9.00345872e-03 1.47527939e-03
 1.08908743e-03 1.39750034e-02 1.21572551e-02 2.38476742e-03
 8.14833354e-04 1.54300864e-03 2.19350166e-02 5.15457172e-03
 1.76095410e-03 6.63021725e-03 1.99851882e-03 1.29930786e-03
 3.31601674e-03 3.70608204e-03 9.35659835e-04 1.41544774e-03
 1.96727233e-03 5.61157532e-02 9.47288923e-04 4.14835879e-03
 2.26928868e-03 2.27305897e-02 2.03691603e-03 6.57646641e-02
 4.54958159e-03 1.80217314e-02 1.87603872e-03 4.31465592e-03]"
15,Random Forest,0.727310606060606,0.875,0.9166666666666666,0.6666666666666666,0.7272727272727273,0.8284090909090909,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}","[0.00897869 0.01165768 0.01019957 0.00401973 0.01107457 0.0339378
 0.00608682 0.01843703 0.0253841  0.00304949 0.00836916 0.01120599
 0.00624531 0.03704718 0.00685936 0.01037171 0.01029196 0.00453718
 0.01568159 0.02464659 0.00756619 0.00453867 0.00708167 0.00579047
 0.03217559 0.00574112 0.03012593 0.0054273  0.01420118 0.05166957
 0.00766562 0.0052898  0.00953233 0.00205987 0.00470071 0.00427695
 0.01179598 0.00067194 0.00519189 0.00154869 0.00351051 0.00482813
 0.00335812 0.00955433 0.0086132  0.00642292 0.01145256 0.01509635
 0.00512895 0.00189219 0.02336984 0.00492317 0.00301428 0.00299904
 0.00969768 0.01263827 0.00827634 0.00555161 0.00487255 0.01174815
 0.01384393 0.00953292 0.01044751 0.05285487 0.0078703  0.0078306
 0.00262267 0.00149415 0.00712087 0.00443931 0.001333   0.00155151
 0.02719058 0.07680633 0.013201   0.01284313 0.00211191 0.00623398
 0.00680142 0.01593747 0.01567995 0.01873171 0.00231367 0.03005288
 0.00907313]"
32,Support Vector Classifier,0.6087723091955067,0.5397727272727273,0.375,0.7272727272727273,0.5517241379310345,0.4493037265764539,"{'kernel': 'poly', 'gamma': 'auto', 'C': 10.0}",
33,Support Vector Classifier,0.8320616883116884,0.625,0.25,1.0,0.7272727272727273,0.6220238095238095,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
