Dataset,Best Model,Combined Score,AUROC,Specificity,Sensitivity,F1 Score,PR AUC,Best Parameters,Feature Importance
1,Support Vector Classifier,0.6866509680795395,0.6483516483516483,0.38461538461538464,0.8571428571428571,0.5714285714285714,0.4793127507413221,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
3,Support Vector Classifier,0.7224837662337662,0.8131868131868132,0.6923076923076923,0.7142857142857143,0.625,0.8011363636363635,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 0.1}",
5,Decision Tree,0.4175,0.5833333333333334,0.6666666666666666,0.5,0.4,0.29166666666666663,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}","[0.         0.         0.         0.33263941 0.         0.
 0.         0.         0.         0.22592245 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07051282 0.         0.
 0.         0.         0.         0.         0.26557415 0.10535117
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
7,Decision Tree,0.5740841155279658,0.658102766798419,0.7391304347826086,0.6363636363636364,0.5833333333333334,0.46411876893160314,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}","[0.04791236 0.03848168 0.         0.06335348 0.         0.0544287
 0.         0.         0.05683447 0.         0.03552155 0.
 0.         0.00692947 0.         0.         0.02356021 0.
 0.06952618 0.10556685 0.         0.02141837 0.14931283 0.06086594
 0.02356021 0.         0.         0.02565445 0.0524938  0.
 0.         0.         0.         0.01701571 0.01884817 0.
 0.         0.         0.         0.         0.05949548 0.0078534
 0.05351329 0.         0.         0.         0.         0.0078534 ]"
8,Support Vector Classifier,0.5869888185159121,0.6292517006802721,0.38095238095238093,0.6428571428571429,0.5,0.5518674902911356,"{'kernel': 'linear', 'gamma': 'scale', 'C': 0.01}","[-0.07066412  0.06937833 -0.06129441 -0.00841864  0.02667946  0.17670936
  0.02960092  0.05748296 -0.15017354 -0.03971415  0.09102565  0.04790858
 -0.0295137  -0.02641474  0.01068574  0.05245165  0.04134271  0.01190674
  0.06319412 -0.01262965  0.0520573  -0.04430552  0.04644734 -0.01051594
  0.0145633  -0.00559387  0.12949135  0.00199814 -0.04429041  0.07694543
  0.0706515  -0.08002577  0.03556059 -0.08571454 -0.03784562  0.00514392
 -0.10474593  0.03009625  0.09954116  0.07011123 -0.04625494  0.03362113
  0.01576829  0.00111601  0.10335905 -0.10055311 -0.09564869 -0.03436885
 -0.03101769]"
9,Support Vector Classifier,0.7067447078086817,0.5601503759398496,0.0,0.8571428571428571,0.5333333333333333,0.5716887085686218,"{'kernel': 'poly', 'gamma': 'scale', 'C': 0.01}",
10,Random Forest,0.07476190476190477,0.4722222222222222,0.6666666666666666,0.0,0.0,0.2492063492063492,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}","[0.00841168 0.00598732 0.00340247 0.01392791 0.00340066 0.0035096
 0.07507527 0.0018217  0.05850454 0.0283591  0.02246311 0.00464885
 0.0058127  0.00549101 0.00648501 0.01230161 0.05607223 0.00651486
 0.01958094 0.0078765  0.0013102  0.04611871 0.25422804 0.00268034
 0.00078487 0.00549216 0.02083048 0.00037257 0.00250014 0.00663525
 0.00720881 0.00469387 0.02459739 0.00979075 0.00990054 0.00560551
 0.05911663 0.00272862 0.00645245 0.00677665 0.02128291 0.00356814
 0.00777384 0.00552773 0.00274696 0.00162811 0.00147408 0.00668638
 0.01326145 0.00281279 0.08835722 0.01740934]"
12,Random Forest,0.6203968253968254,0.701388888888889,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.575925925925926,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}","[0.01206661 0.00891714 0.0094143  0.01372988 0.00912887 0.01005001
 0.01054123 0.01439244 0.00786882 0.0214427  0.01837215 0.01541226
 0.02488805 0.01056006 0.01205755 0.00675124 0.00549135 0.02218852
 0.01771335 0.00806526 0.01145201 0.01461849 0.01472149 0.02214898
 0.0055652  0.00838978 0.00783349 0.01420883 0.00810381 0.01113063
 0.00753763 0.00829366 0.01102475 0.03825623 0.01967794 0.0114958
 0.027062   0.00787635 0.01515466 0.01378767 0.00572875 0.01008633
 0.02541313 0.03493021 0.00934326 0.01456306 0.0055007  0.01039317
 0.00923716 0.01046138 0.00956399 0.00686737 0.00457652 0.00589746
 0.00898551 0.01370494 0.00942239 0.02327837 0.01536912 0.00618733
 0.04876629 0.03126708 0.00931703 0.00686714 0.00875875 0.00649956
 0.01100315 0.02431754 0.00997105 0.00487797 0.01702694 0.02305734
 0.02136882]"
13,Decision Tree,0.6275,0.7159090909090908,0.7272727272727273,0.75,0.6,0.44166666666666665,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}","[0.         0.         0.         0.22098214 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.18415179 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.02901786
 0.         0.         0.         0.         0.         0.
 0.         0.         0.09014423 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.14423077 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.33147321
 0.         0.         0.         0.        ]"
15,Support Vector Classifier,0.839390756302521,0.8611111111111112,0.5833333333333334,1.0,0.7058823529411765,0.6607142857142857,"{'kernel': 'poly', 'gamma': 'auto', 'C': 10.0}",
