Dataset,Best Model,Combined Score,AUROC,Specificity,Sensitivity,F1 Score,PR AUC,Best Parameters,Feature Importance
1,Support Vector Classifier,0.6719230769230768,0.5604395604395603,0.46153846153846156,0.8571428571428571,0.6,0.41117216117216115,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
3,Support Vector Classifier,0.6560288771378997,0.49450549450549447,0.46153846153846156,0.8571428571428571,0.6,0.3581914952215704,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
5,Decision Tree,0.4175,0.5833333333333334,0.6666666666666666,0.5,0.4,0.29166666666666663,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}","[0.         0.         0.         0.33263941 0.         0.
 0.         0.         0.         0.22592245 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07051282 0.         0.
 0.         0.         0.         0.         0.26557415 0.10535117
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
7,Support Vector Classifier,0.6961712908303817,0.8458498023715415,0.782608695652174,0.7272727272727273,0.6666666666666666,0.6640053128689491,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
8,Random Forest,0.4685591227332868,0.532312925170068,0.7142857142857143,0.42857142857142855,0.46153846153846156,0.5398857204662675,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}","[0.02877358 0.01648238 0.020364   0.01239366 0.02000045 0.03125739
 0.00947281 0.01704092 0.03339899 0.01743234 0.03326135 0.02232838
 0.01769143 0.01762871 0.01110388 0.01875936 0.01644608 0.01361994
 0.02019305 0.02345901 0.02813879 0.01446726 0.01575775 0.02130236
 0.0174938  0.01756267 0.01972534 0.02140338 0.01114316 0.01254606
 0.03372082 0.0213076  0.0136371  0.0246761  0.01466402 0.02450385
 0.02409369 0.01165209 0.01599654 0.02047509 0.01663746 0.01757726
 0.01785484 0.01804387 0.03660398 0.04317293 0.02589027 0.01871794
 0.02012626]"
9,Random Forest,0.5350132274599441,0.48872180451127817,0.47368421052631576,0.5714285714285714,0.5,0.4976631391521945,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}","[0.02182673 0.0277136  0.02841642 0.01052013 0.00656808 0.02107503
 0.06330351 0.01211791 0.03267738 0.01366501 0.01101396 0.02903633
 0.01833821 0.01057013 0.02070136 0.01359509 0.02018277 0.02088593
 0.01226203 0.0101996  0.01639601 0.02376432 0.01680092 0.01941164
 0.01439505 0.01663243 0.01205847 0.02670029 0.02237277 0.00850995
 0.01353192 0.01975057 0.02182854 0.01359435 0.0581831  0.00912929
 0.01718943 0.0142793  0.0166143  0.01940708 0.01350058 0.00785835
 0.01082669 0.01604999 0.01225001 0.04298614 0.04160405 0.02735709
 0.00954475 0.01185732 0.02094612]"
10,Random Forest,0.07476190476190477,0.4722222222222222,0.6666666666666666,0.0,0.0,0.2492063492063492,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}","[0.00841168 0.00598732 0.00340247 0.01392791 0.00340066 0.0035096
 0.07507527 0.0018217  0.05850454 0.0283591  0.02246311 0.00464885
 0.0058127  0.00549101 0.00648501 0.01230161 0.05607223 0.00651486
 0.01958094 0.0078765  0.0013102  0.04611871 0.25422804 0.00268034
 0.00078487 0.00549216 0.02083048 0.00037257 0.00250014 0.00663525
 0.00720881 0.00469387 0.02459739 0.00979075 0.00990054 0.00560551
 0.05911663 0.00272862 0.00645245 0.00677665 0.02128291 0.00356814
 0.00777384 0.00552773 0.00274696 0.00162811 0.00147408 0.00668638
 0.01326145 0.00281279 0.08835722 0.01740934]"
12,Random Forest,0.6203968253968254,0.701388888888889,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.575925925925926,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}","[0.01206661 0.00891714 0.0094143  0.01372988 0.00912887 0.01005001
 0.01054123 0.01439244 0.00786882 0.0214427  0.01837215 0.01541226
 0.02488805 0.01056006 0.01205755 0.00675124 0.00549135 0.02218852
 0.01771335 0.00806526 0.01145201 0.01461849 0.01472149 0.02214898
 0.0055652  0.00838978 0.00783349 0.01420883 0.00810381 0.01113063
 0.00753763 0.00829366 0.01102475 0.03825623 0.01967794 0.0114958
 0.027062   0.00787635 0.01515466 0.01378767 0.00572875 0.01008633
 0.02541313 0.03493021 0.00934326 0.01456306 0.0055007  0.01039317
 0.00923716 0.01046138 0.00956399 0.00686737 0.00457652 0.00589746
 0.00898551 0.01370494 0.00942239 0.02327837 0.01536912 0.00618733
 0.04876629 0.03126708 0.00931703 0.00686714 0.00875875 0.00649956
 0.01100315 0.02431754 0.00997105 0.00487797 0.01702694 0.02305734
 0.02136882]"
13,Decision Tree,0.6275,0.7159090909090908,0.7272727272727273,0.75,0.6,0.44166666666666665,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}","[0.         0.         0.         0.22098214 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.18415179 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.02901786
 0.         0.         0.         0.         0.         0.
 0.         0.         0.09014423 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.14423077 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.33147321
 0.         0.         0.         0.        ]"
15,Random Forest,0.7156016042780748,0.8055555555555556,0.9166666666666666,0.6666666666666666,0.7272727272727273,0.7893790849673202,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}","[0.01377643 0.0058458  0.00653489 0.00330886 0.01171771 0.02530063
 0.0060933  0.0129523  0.02806604 0.0042708  0.01371442 0.00624491
 0.00884681 0.028189   0.01027342 0.01262381 0.01133195 0.00501018
 0.01269151 0.01829169 0.00718505 0.01230822 0.0180995  0.00693941
 0.0464097  0.00480284 0.01408829 0.00475917 0.00696424 0.02032969
 0.00419389 0.01118432 0.01215594 0.00372955 0.00700911 0.0090424
 0.00360683 0.00213216 0.00450063 0.00320041 0.00463592 0.00450057
 0.00894739 0.00665547 0.01337385 0.00768794 0.01048823 0.01954015
 0.00289976 0.00465119 0.02900755 0.0039897  0.00813029 0.00803612
 0.01105779 0.0093369  0.0073216  0.00982424 0.009968   0.00922027
 0.01007671 0.01080108 0.0056011  0.02058655 0.00636691 0.00625261
 0.00281753 0.00646951 0.0060315  0.00548211 0.00292163 0.00709584
 0.02698493 0.10798626 0.00593434 0.00555386 0.00572242 0.00793823
 0.01605725 0.03025954 0.01484188 0.01048643 0.00864533 0.02670531
 0.00538242]"
