Dataset,Top Features,Top Importance
1,"['IFNg_CD4_pos_pSTAT1', 'IFNg_B_cell_pSTAT3', 'Unstim_CD8_pos_pSTAT1', 'Unstim_B_cell_pSTAT1', 'IFNg_B_cell_pSTAT1']",[0.06134033 0.05877232 0.05620535 0.05501247 0.05339385]
3,"['IFNg_Mono_pSTAT5', 'IFNa_Mono_pSTAT1', 'IFNa_Mono_pSTAT3', 'Unstim_CD4_pos_pSTAT1', 'IFNa_CD8_pos_pSTAT5']",[0.38886786 0.16899561 0.15908121 0.11934503 0.09853971]
4,"['IFNa_CD8_pos_pSTAT5', 'Unstim_B_cell_pSTAT1', 'IFNg_CD8_pos_pSTAT5', 'IFNa_Mono_pSTAT1', 'Unstim_CD8_pos_pSTAT5']",[0.58669173 0.24921659 0.12370266 0.02065217 0.01973684]
5,"['CD161_pos_CD45RA_pos_Tregs', 'IgD_pos_CD27_pos_B_cells', 'CD85j_pos_CD8_pos_T_cells', 'HLADR_pos_CD38_neg_CD8_pos_T_cells', 'memory_B_cells']",[0.39601244 0.276372   0.23031    0.07106132 0.02624424]
7,"['effector_CD8_pos_T_cells', 'central_memory_CD4_pos_T_cells', 'CD94_pos_NK_cells', 'CD161_pos_CD45RA_pos_Tregs', 'effector_memory_CD4_pos_T_cells']",[0.14931283 0.10556685 0.06952618 0.06335348 0.06086594]
8,"['L50_GMCSF', 'L50_IL7', 'L50_TGFB', 'L50_PAI1', 'L50_IFNB']",[0.17670936 0.12949135 0.10335905 0.09954116 0.09102565]
9,"['L50_GMCSF', 'L50_MCSF', 'L50_TGFB', 'L50_TNFA', 'L50_HGF']",[0.06330351 0.0581831  0.04298614 0.04160405 0.03267738]
10,"['effector_CD8_pos_T_cells', 'HLADR_pos_NK_cells', 'CD161_pos_NK_cells', 'transitional_B_cells', 'effector_CD4_pos_T_cells']",[0.10149392 0.07536011 0.05768766 0.05325003 0.04617378]
12,"['L50_IL1RA', 'L50_VEGF', 'Unstim_B_cell_pSTAT1', 'Unstim_Mono_pSTAT5', 'L50_GMCSF']",[0.04469073 0.03139255 0.03006337 0.02988671 0.02796795]
13,"['CD161_pos_CD45RA_pos_Tregs', 'Th2_non_neg_TFH_CD8_pos_T_cells', 'CD27_pos_CD8_pos_T_cells', 'Th17_TFH_CD8_pos_T_cells', 'CD57_pos_CD4_pos_T_cells']",[0.3086581  0.06576466 0.06053811 0.05611575 0.03482373]
15,"['IFNa_CD8_pos_pSTAT3', 'Unstim_B_cell_pSTAT1', 'IFNg_Mono_pSTAT3', 'Unstim_Mono_pSTAT3', 'IFNa_CD8_pos_pSTAT5']",[0.03397808 0.03310766 0.03268042 0.03109857 0.02729583]
32,"['L50_HGF', 'L50_SCF', 'L50_TRAIL', 'L50_IFNG', 'L50_TGFB']",[0.02717003 0.02258852 0.02112465 0.01929808 0.01833332]
33,"['central_memory_CD4_pos_T_cells', 'L50_ENA78', 'L50_IL1RA', 'monocytes', 'HLADR_pos_CD38_neg_CD8_pos_T_cells']",[0.17046592 0.12084852 0.05724805 0.04612477 0.02922214]
34,"['memory_B_cells', 'monocytes', 'effector_CD8_pos_T_cells', 'L50_HGF', 'L50_MIP1B']",[0.20909122 0.20829598 0.19098168 0.18692426 0.16771616]
35,"['CD161_pos_CD45RA_neg_Tregs', 'Tregs', 'L50_MCP3', 'naive_CD8_pos_T_cells', 'NKT_cells']",[0.23424077 0.17745218 0.14146773 0.13333333 0.099702  ]
36,"['monocytes', 'L50_TRAIL', 'TNFA', 'effector_CD8_pos_T_cells', 'plasmablasts']",[0.1949758  0.17269822 0.16808635 0.16219674 0.16179674]
41,"['effector_CD8_pos_T_cells', 'IL_neg_10_CD8_pos_CD45RA_neg_pSTAT5', 'IL_neg_10_CD8_pos_pSTAT5', 'IL_neg_21_CD8_pos_CD45RA_neg_pSTAT5', 'IL_neg_10_CD4_pos_CD45RA_pos_pSTAT5']",[0.02174665 0.01769394 0.0165955  0.01655551 0.01631141]
168,"['IL_neg_21_CD8_pos_CD45RA_pos_pSTAT5', 'Unstim_CD4_pos_CD45RA_pos_pSTAT5', 'IFNa_Mono_pSTAT5', 'IgD_neg_CD27_neg_B_cells', 'IL_neg_10_CD4_pos_CD45RA_neg_pSTAT5']",[0.65024631 0.32662444 0.02312925 0.         0.        ]
169,"['IL_neg_10_CD4_pos_pSTAT1', 'IL_neg_6_CD8_pos_pSTAT1', 'L50_MCP1', 'IgD_pos_CD27_neg_B_cells', 'IFNg_B_cell_pSTAT3']",[0.43410293 0.20182117 0.17493386 0.12333516 0.03306878]
171,"['IL_neg_10_CD4_pos_pSTAT1', 'IL_neg_21_CD8_pos_pSTAT5', 'IL_neg_6_CD8_pos_pSTAT1', 'effector_memory_CD8_pos_T_cells', 'IL_neg_10_CD4_pos_CD45RA_pos_pSTAT5']",[0.48480931 0.20420168 0.12397959 0.12110806 0.03316327]
202,"['IL_neg_6_CD4_pos_pSTAT5', 'IL_neg_10_CD4_pos_CD45RA_neg_pSTAT5', 'IL_neg_10_CD4_pos_CD45RA_neg_pSTAT3', 'IL_neg_10_CD4_pos_CD45RA_pos_pSTAT1', 'IL_neg_10_CD4_pos_CD45RA_pos_pSTAT3']",[0.72727273 0.27272727 0.         0.         0.        ]
